Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN06836,2.0,,,2.0,Meal Plan 1,0.0,Room_Type 1,86.0,2017.0,9.0,24.0,Offline,,0.0,0.0,,0.0,0.0
INN33278,1.0,,0.0,,,0.0,Room_Type 1,3.0,2018.0,10.0,,Corporate,,0.0,0.0,,0.0,0.0
INN30770,2.0,,,,,,,,2018.0,4.0,,Online,,0.0,0.0,,0.0,1.0
INN25947,2.0,,,1.0,,,Room_Type 1,,2017.0,10.0,,Offline,0.0,0.0,,,1.0,0.0
INN02617,2.0,,,1.0,,0.0,Room_Type 1,,2018.0,4.0,,,,0.0,0.0,,0.0,0.0
INN04526,3.0,,2.0,3.0,,,,,2018.0,8.0,21.0,Online,,0.0,,,,0.0
INN30146,2.0,,,3.0,,0.0,,,2018.0,,,Offline,,0.0,,81.0,,0.0
INN10325,2.0,,,3.0,Meal Plan 1,,,37.0,2018.0,10.0,,Offline,,0.0,0.0,105.0,,0.0
INN18211,1.0,,1.0,3.0,Meal Plan 1,0.0,,127.0,2018.0,4.0,,Offline,,0.0,,80.0,0.0,0.0
INN29265,2.0,,2.0,,Meal Plan 1,0.0,,119.0,2017.0,12.0,,Online,,0.0,0.0,72.25,3.0,0.0
INN33791,2.0,,,0.0,,,Room_Type 1,,2018.0,10.0,,Offline,,0.0,0.0,,,1.0
INN02585,2.0,,,2.0,Meal Plan 1,0.0,,86.0,2017.0,9.0,,Offline,0.0,0.0,0.0,,0.0,0.0
INN20414,1.0,,,,,0.0,Room_Type 1,4.0,2018.0,12.0,,Offline,,0.0,,70.0,,0.0
INN35369,2.0,,,2.0,,,,,2018.0,3.0,,Offline,,0.0,0.0,,1.0,0.0
INN02426,2.0,,,7.0,Meal Plan 1,,,,2018.0,4.0,,,,0.0,0.0,,,0.0
INN19987,2.0,,0.0,2.0,Not Selected,0.0,Room_Type 1,,,10.0,,Online,,0.0,0.0,,1.0,1.0
INN05478,,0.0,,1.0,,,,,2017.0,11.0,,,,0.0,,,0.0,0.0
INN10090,2.0,,,2.0,,,,,2018.0,3.0,,Online,,0.0,0.0,,1.0,0.0
INN15952,,,,,Meal Plan 1,0.0,,18.0,2018.0,9.0,,,,0.0,,,,0.0
INN18938,2.0,,,4.0,Meal Plan 1,,Room_Type 1,,2017.0,7.0,8.0,,0.0,0.0,0.0,,2.0,1.0
INN35276,2.0,,1.0,0.0,Not Selected,,,,2018.0,12.0,25.0,Online,,0.0,,,,0.0
INN21151,2.0,,,1.0,Meal Plan 1,,,14.0,,7.0,,,0.0,0.0,0.0,169.0,,0.0
INN06997,2.0,,,,Meal Plan 1,,,,2018.0,10.0,,,,0.0,0.0,,,0.0
INN04376,2.0,,,5.0,,0.0,Room_Type 4,44.0,2018.0,10.0,18.0,Online,,0.0,0.0,,2.0,0.0
INN05635,2.0,0.0,,,,,Room_Type 1,27.0,2017.0,9.0,,,,0.0,,108.0,0.0,0.0
INN35633,,,,,Meal Plan 1,1.0,Room_Type 1,,2017.0,12.0,,Online,,0.0,,,0.0,0.0
INN12757,2.0,,,3.0,,0.0,,,2018.0,3.0,,Online,,0.0,,,,0.0
INN20138,1.0,,,2.0,Meal Plan 1,,,63.0,2018.0,5.0,,,,0.0,0.0,,,0.0
INN22925,2.0,,4.0,10.0,Meal Plan 1,,,,2018.0,8.0,,Online,,0.0,,,2.0,1.0
INN31396,2.0,,,,Meal Plan 1,,,,2018.0,10.0,,,,0.0,0.0,,0.0,0.0
INN17396,0.0,,,3.0,Meal Plan 1,,,,2018.0,8.0,,,,0.0,,86.5,0.0,1.0
INN18267,2.0,,,,Meal Plan 1,0.0,,12.0,2018.0,9.0,,,,0.0,0.0,,0.0,0.0
INN00471,2.0,0.0,,1.0,Meal Plan 2,0.0,Room_Type 1,4.0,2017.0,8.0,,,,0.0,,,0.0,0.0
INN12368,,,,0.0,,,Room_Type 1,4.0,,6.0,,Online,,0.0,0.0,,,0.0
INN02280,2.0,,0.0,1.0,Meal Plan 1,0.0,,443.0,2018.0,4.0,,Online,,0.0,0.0,,,1.0
INN32286,2.0,1.0,0.0,1.0,,,,,2018.0,7.0,,Online,,0.0,0.0,134.1,0.0,1.0
INN22490,1.0,0.0,,2.0,,,Room_Type 4,,2018.0,5.0,,Online,0.0,0.0,0.0,126.3,1.0,0.0
INN05133,,,,1.0,,,,77.0,2018.0,5.0,,Online,,0.0,0.0,,1.0,0.0
INN16796,2.0,,,,,0.0,,,2018.0,6.0,,,,0.0,0.0,,0.0,0.0
INN13434,2.0,,,0.0,Meal Plan 1,,,,2018.0,9.0,,Online,,0.0,0.0,90.09,,0.0
INN02716,2.0,,1.0,1.0,Not Selected,0.0,,,2018.0,4.0,,,,0.0,0.0,,,0.0
INN17420,2.0,,,3.0,Meal Plan 1,0.0,,,2018.0,12.0,,,,0.0,0.0,,0.0,0.0
INN06423,2.0,,,3.0,Meal Plan 1,,,,2018.0,8.0,,,,0.0,,88.77,0.0,1.0
INN05134,2.0,,,3.0,,0.0,Room_Type 1,130.0,2018.0,7.0,,Online,,0.0,0.0,105.3,0.0,0.0
INN22365,1.0,,0.0,2.0,,0.0,,,2018.0,10.0,,Offline,0.0,0.0,0.0,,,1.0
INN07575,1.0,,,,Meal Plan 1,,Room_Type 1,,2018.0,1.0,,,,0.0,0.0,76.14,0.0,0.0
INN04833,2.0,,0.0,2.0,Meal Plan 1,,,,2018.0,10.0,,Complementary,,0.0,,0.0,1.0,0.0
INN24623,2.0,,,6.0,Meal Plan 1,0.0,Room_Type 1,,2018.0,9.0,,,,0.0,0.0,,0.0,0.0
INN22769,,,1.0,1.0,,,,,2018.0,6.0,,Online,,0.0,0.0,,,1.0
INN01054,,,,3.0,Meal Plan 1,,,,2018.0,1.0,,,,0.0,0.0,,1.0,0.0
INN15689,,,,,Meal Plan 1,0.0,,,2018.0,3.0,,,,0.0,,,0.0,0.0
INN02919,2.0,,,,,0.0,,1.0,2018.0,5.0,,Online,0.0,0.0,,84.0,0.0,1.0
INN19383,2.0,,1.0,2.0,,1.0,,,2018.0,10.0,,Online,0.0,0.0,0.0,,,0.0
INN15603,1.0,,0.0,1.0,,0.0,Room_Type 4,,2018.0,3.0,,,0.0,0.0,,93.8,1.0,0.0
INN33252,2.0,,2.0,5.0,Meal Plan 2,0.0,,,2018.0,9.0,,,0.0,0.0,0.0,89.14,,0.0
INN21698,1.0,,,,Meal Plan 1,,,,2018.0,5.0,,,,3.0,,65.0,0.0,0.0
INN18816,,,2.0,3.0,,0.0,Room_Type 1,,2018.0,2.0,,Offline,0.0,0.0,0.0,76.0,0.0,0.0
INN02534,1.0,,,2.0,,,,102.0,2017.0,10.0,16.0,Online,,0.0,,,0.0,1.0
INN00018,2.0,0.0,,3.0,,0.0,Room_Type 1,,,8.0,,,,0.0,0.0,,1.0,0.0
INN22652,,,,,,0.0,,,2018.0,12.0,,Corporate,0.0,0.0,0.0,,0.0,0.0
INN14601,2.0,,,,,1.0,,,2018.0,11.0,,Corporate,0.0,0.0,,,,0.0
INN03246,1.0,0.0,,4.0,,,Room_Type 1,,2018.0,,6.0,Online,,0.0,,,0.0,1.0
INN08962,2.0,,,2.0,,,,265.0,2018.0,6.0,,,,0.0,,,,1.0
INN20573,2.0,,,,Meal Plan 1,0.0,,,2018.0,9.0,,,,0.0,0.0,,,0.0
INN29003,2.0,,,,,0.0,Room_Type 1,,2018.0,7.0,,Online,,0.0,0.0,,,1.0
INN20468,2.0,,,3.0,Meal Plan 1,,,,2018.0,12.0,12.0,,,,,,1.0,0.0
INN30869,2.0,,2.0,,,0.0,,,2018.0,8.0,,,,0.0,,85.0,0.0,0.0
INN14042,2.0,,1.0,,Meal Plan 2,,,,2018.0,12.0,,Online,0.0,0.0,,120.7,4.0,0.0
INN33567,,,,1.0,,0.0,Room_Type 1,19.0,2017.0,12.0,,Online,,1.0,,69.0,,0.0
INN24547,2.0,,0.0,2.0,Meal Plan 1,0.0,,,2018.0,6.0,,Offline,0.0,0.0,0.0,,0.0,1.0
INN10428,1.0,0.0,2.0,2.0,Meal Plan 1,0.0,,,2018.0,2.0,,,0.0,0.0,0.0,,0.0,1.0
INN00008,2.0,,,3.0,,0.0,,,2018.0,12.0,,Online,,0.0,0.0,105.61,1.0,0.0
INN15673,1.0,,,1.0,Meal Plan 1,,,,2018.0,1.0,,,0.0,0.0,0.0,,0.0,0.0
INN08086,2.0,0.0,,3.0,Not Selected,,,,2018.0,12.0,,Online,,0.0,0.0,,1.0,0.0
INN21913,1.0,,0.0,3.0,Meal Plan 1,,,166.0,2018.0,11.0,,,,0.0,0.0,110.0,,1.0
INN25820,2.0,,,4.0,Meal Plan 1,0.0,,,2017.0,12.0,9.0,Offline,,0.0,,,0.0,0.0
INN24317,1.0,,,5.0,Meal Plan 1,0.0,,,2018.0,10.0,18.0,Corporate,,0.0,,,,0.0
INN15247,2.0,2.0,,1.0,,,,,2018.0,8.0,,Online,,0.0,,,1.0,0.0
INN04591,2.0,,,2.0,Meal Plan 1,0.0,,,2018.0,6.0,,Online,,0.0,0.0,100.0,0.0,1.0
INN12158,2.0,,1.0,,Meal Plan 1,0.0,,,2018.0,,,,,0.0,,,,0.0
INN33959,,,,2.0,,0.0,,,2018.0,9.0,,,,0.0,,,,0.0
INN15081,2.0,,,,Meal Plan 1,,,,2017.0,11.0,,,,0.0,,,,0.0
INN28800,2.0,,,2.0,,,,,2018.0,2.0,,Online,,0.0,0.0,,,0.0
INN14750,,0.0,,5.0,Meal Plan 1,,,120.0,2018.0,9.0,,,,0.0,0.0,,,0.0
INN18135,2.0,,,3.0,Meal Plan 1,0.0,,,2018.0,6.0,,Offline,,0.0,0.0,72.25,1.0,0.0
INN00053,1.0,,1.0,,Meal Plan 1,0.0,,6.0,2018.0,5.0,16.0,Online,,0.0,,,,0.0
INN11922,2.0,,0.0,3.0,Meal Plan 1,0.0,,304.0,2018.0,11.0,,,,0.0,,,0.0,1.0
INN32327,1.0,0.0,0.0,2.0,Meal Plan 1,0.0,Room_Type 4,,2018.0,3.0,,Online,0.0,0.0,0.0,,0.0,0.0
INN20250,2.0,0.0,,4.0,,0.0,,,2018.0,10.0,,,,0.0,,128.01,1.0,0.0
INN32477,2.0,,,,Meal Plan 2,,,292.0,2018.0,7.0,,Offline,0.0,0.0,0.0,,0.0,1.0
INN08488,2.0,,,3.0,Meal Plan 1,0.0,,,2018.0,8.0,,,,0.0,,,,0.0
INN26002,2.0,0.0,,3.0,,0.0,Room_Type 1,64.0,2018.0,9.0,28.0,Offline,,0.0,0.0,,0.0,0.0
INN00585,2.0,,,5.0,,,,,2018.0,6.0,,Online,0.0,0.0,0.0,,2.0,0.0
INN07285,2.0,0.0,,,Meal Plan 2,,,,,7.0,,,,0.0,0.0,101.5,0.0,1.0
INN12592,1.0,,0.0,3.0,,,,,2018.0,,,,,0.0,,,,0.0
INN29449,2.0,0.0,,2.0,,0.0,Room_Type 1,,2018.0,10.0,,Online,0.0,0.0,,,,1.0
INN31210,,,0.0,1.0,,,Room_Type 1,,2018.0,4.0,,Online,,0.0,0.0,95.0,1.0,0.0
INN16360,2.0,,1.0,1.0,Meal Plan 1,0.0,,,2018.0,,,Online,0.0,0.0,,,0.0,1.0
INN16220,1.0,,,0.0,Meal Plan 2,,,,2018.0,10.0,,Offline,,0.0,,,1.0,1.0
INN19962,2.0,,,2.0,,,,,2018.0,9.0,,Offline,,0.0,,,1.0,0.0
INN05002,2.0,,,2.0,Meal Plan 1,0.0,Room_Type 1,,2017.0,10.0,,Offline,,0.0,0.0,,,0.0
INN02498,2.0,,,0.0,Not Selected,0.0,,,2018.0,9.0,,Online,,0.0,,99.0,0.0,1.0
INN00251,,,,1.0,Meal Plan 1,0.0,,,2018.0,8.0,,,,0.0,,,1.0,1.0
INN33478,1.0,,,,,0.0,,,2018.0,11.0,,,,0.0,,,0.0,0.0
INN12028,,0.0,,0.0,,0.0,,,2018.0,,,,,0.0,,,1.0,0.0
INN32190,2.0,,,,Meal Plan 1,0.0,,,2018.0,6.0,,Online,,0.0,0.0,,0.0,1.0
INN18425,,,,1.0,,,,59.0,2018.0,3.0,13.0,Online,0.0,0.0,0.0,67.5,0.0,0.0
INN26584,2.0,,0.0,3.0,Meal Plan 1,0.0,,,2018.0,5.0,,Offline,,0.0,0.0,,,1.0
INN18493,,,1.0,0.0,Meal Plan 1,,,,2018.0,9.0,,Corporate,1.0,0.0,,,0.0,0.0
INN00901,2.0,,,2.0,Meal Plan 1,0.0,Room_Type 1,,2018.0,5.0,,,,0.0,0.0,,0.0,1.0
INN16367,1.0,0.0,,1.0,,0.0,,,2018.0,5.0,,Online,0.0,0.0,,,0.0,0.0
INN01114,2.0,,,3.0,,,,,2017.0,10.0,12.0,,,0.0,0.0,,2.0,0.0
INN07763,2.0,,,2.0,,0.0,,,2018.0,4.0,,Online,,0.0,,82.45,1.0,0.0
INN25145,2.0,,,5.0,Meal Plan 1,,Room_Type 1,227.0,2018.0,10.0,,,,0.0,0.0,,0.0,0.0
INN13725,,0.0,,2.0,,0.0,Room_Type 4,,2018.0,7.0,,Online,,0.0,0.0,,0.0,0.0
INN25925,2.0,,,1.0,Meal Plan 1,,,,2018.0,11.0,,Offline,,0.0,,,0.0,0.0
INN25823,2.0,,,,Meal Plan 1,,Room_Type 1,,,10.0,,Offline,,0.0,,,0.0,0.0
INN17184,,,,1.0,Meal Plan 1,,Room_Type 1,118.0,2018.0,7.0,,,,0.0,,,,0.0
INN36143,3.0,,,,,0.0,Room_Type 4,37.0,2018.0,4.0,,,,0.0,,148.95,0.0,1.0
INN07999,2.0,,,2.0,,0.0,Room_Type 1,,2018.0,2.0,,,,0.0,0.0,,0.0,0.0
INN12699,2.0,,0.0,2.0,Meal Plan 1,0.0,Room_Type 4,,2018.0,10.0,,,0.0,0.0,,85.93,1.0,0.0
INN27281,2.0,,0.0,1.0,Not Selected,,,,2018.0,8.0,,Online,0.0,0.0,0.0,,,1.0
INN18127,1.0,,,,,0.0,Room_Type 1,33.0,2018.0,9.0,,Complementary,,0.0,,,0.0,0.0
INN25278,2.0,,0.0,1.0,,,Room_Type 4,,2018.0,5.0,,,,0.0,,,0.0,1.0
INN21642,2.0,,,1.0,Meal Plan 1,,Room_Type 4,,2018.0,10.0,,,,0.0,0.0,,1.0,1.0
INN17400,3.0,,,3.0,Meal Plan 1,0.0,,,2018.0,6.0,,,,0.0,,170.33,,0.0
INN00343,1.0,,,2.0,Meal Plan 1,0.0,,,2018.0,6.0,,Offline,,0.0,,,0.0,0.0
INN09442,2.0,,,,Meal Plan 1,,,,,4.0,8.0,Online,,0.0,,,,1.0
INN19650,1.0,,1.0,1.0,,,,,2018.0,8.0,,,,0.0,0.0,131.4,,0.0
INN22971,2.0,,,3.0,Not Selected,,,,2018.0,8.0,1.0,,,0.0,,,,1.0
INN06073,2.0,,0.0,,Not Selected,,Room_Type 1,,2018.0,11.0,,Online,0.0,0.0,,,3.0,0.0
INN03475,2.0,,,3.0,,,,,2018.0,12.0,,Online,0.0,0.0,0.0,,,0.0
INN28595,2.0,,,1.0,,0.0,,,2018.0,4.0,,Complementary,,0.0,2.0,0.0,1.0,0.0
INN01651,2.0,,,,,0.0,,1.0,2018.0,2.0,,Online,,0.0,0.0,,1.0,1.0
INN24446,1.0,,,1.0,,0.0,Room_Type 1,181.0,2018.0,10.0,,Online,0.0,0.0,,,1.0,1.0
INN32144,2.0,,,,Not Selected,,Room_Type 1,41.0,2018.0,4.0,,,,0.0,,,0.0,0.0
INN22096,2.0,,,2.0,,0.0,Room_Type 1,,2017.0,10.0,,,,0.0,0.0,,0.0,0.0
INN33584,1.0,,,1.0,,,,,2018.0,8.0,,Corporate,,0.0,,,1.0,0.0
INN20180,2.0,,,,,,,151.0,2018.0,10.0,,Online,0.0,0.0,,,1.0,0.0
INN12746,2.0,,2.0,,Meal Plan 1,,,,2018.0,2.0,,,,0.0,,60.0,0.0,0.0
INN33816,2.0,,,2.0,Meal Plan 1,,Room_Type 1,,2018.0,3.0,,,,0.0,0.0,,0.0,1.0
INN16128,1.0,,,3.0,,,Room_Type 1,,2017.0,10.0,,Offline,,0.0,,91.0,0.0,0.0
INN15036,2.0,0.0,,,Not Selected,0.0,,49.0,2018.0,7.0,,,0.0,0.0,0.0,93.15,0.0,1.0
INN04527,1.0,0.0,0.0,3.0,Meal Plan 1,1.0,,,2018.0,12.0,,,,0.0,,67.0,1.0,0.0
INN35741,2.0,,,2.0,Meal Plan 1,0.0,Room_Type 1,,2018.0,7.0,,,,0.0,,,1.0,0.0
INN05552,,0.0,,,,0.0,,,2018.0,,,Online,,0.0,0.0,,1.0,0.0
INN25044,2.0,,,,Meal Plan 1,,,,2018.0,3.0,26.0,Offline,,0.0,0.0,,0.0,1.0
INN17900,3.0,,,2.0,Meal Plan 1,0.0,,51.0,2018.0,6.0,,,0.0,0.0,0.0,,,0.0
INN03290,1.0,,,8.0,Meal Plan 1,,,,2018.0,11.0,,Online,,0.0,0.0,,,1.0
INN21053,,0.0,,1.0,Meal Plan 1,0.0,Room_Type 5,,2017.0,8.0,,Online,0.0,0.0,0.0,0.0,1.0,0.0
INN20380,2.0,,,3.0,,0.0,Room_Type 4,,,10.0,,,,0.0,0.0,,0.0,0.0
INN31612,2.0,,,5.0,,0.0,Room_Type 1,19.0,2018.0,11.0,,,,0.0,,68.26,1.0,0.0
INN16686,1.0,,,2.0,Meal Plan 1,,,,2018.0,6.0,,Offline,0.0,0.0,0.0,,0.0,0.0
INN28532,,0.0,1.0,,,1.0,Room_Type 1,,2018.0,9.0,,Corporate,,0.0,,,0.0,0.0
INN27207,1.0,,,2.0,Meal Plan 1,0.0,Room_Type 1,136.0,,8.0,,Online,0.0,0.0,,90.9,0.0,0.0
INN25533,3.0,,,,Meal Plan 1,,,48.0,2018.0,10.0,,,,0.0,,,1.0,0.0
INN07680,,,,2.0,,0.0,,257.0,2017.0,7.0,,,,0.0,0.0,,0.0,1.0
INN14776,2.0,1.0,0.0,4.0,,,,,2018.0,2.0,,Online,,0.0,,,2.0,0.0
INN08816,,,,,Meal Plan 1,0.0,,,2018.0,4.0,25.0,Online,0.0,0.0,,,1.0,0.0
INN21979,1.0,,,,Meal Plan 1,,,,2018.0,10.0,,Offline,,0.0,,120.0,0.0,1.0
INN13753,,,,0.0,Meal Plan 1,0.0,Room_Type 1,,2018.0,11.0,,Online,,0.0,,,0.0,0.0
INN23135,2.0,0.0,,1.0,,,Room_Type 1,175.0,2018.0,7.0,,Online,0.0,0.0,,,1.0,0.0
INN16294,,,,4.0,,,Room_Type 1,,,5.0,17.0,Offline,,0.0,0.0,,,1.0
INN20019,2.0,,,,,,Room_Type 1,,2018.0,7.0,,Offline,0.0,0.0,0.0,,0.0,1.0
INN33996,,0.0,,,,,,,,7.0,,Offline,,0.0,0.0,,1.0,1.0
INN30464,,,0.0,2.0,,0.0,Room_Type 1,,2018.0,10.0,18.0,Online,,0.0,,97.2,2.0,0.0
INN24881,1.0,,,2.0,Meal Plan 1,,,58.0,2018.0,1.0,,,,0.0,,,,0.0
INN19677,2.0,,,1.0,Meal Plan 1,0.0,Room_Type 1,,2017.0,10.0,,,,0.0,,,0.0,1.0
INN15737,2.0,,2.0,,Meal Plan 1,,,193.0,2018.0,8.0,,,0.0,0.0,,,0.0,1.0
INN34449,2.0,,,3.0,,0.0,,27.0,2017.0,10.0,18.0,Offline,,0.0,0.0,,0.0,0.0
INN34176,1.0,,,1.0,Meal Plan 1,,,,2018.0,12.0,,,,0.0,,,2.0,0.0
INN29555,2.0,,1.0,2.0,,0.0,,,2018.0,2.0,,Online,0.0,0.0,0.0,23.0,0.0,0.0
INN04814,2.0,,,3.0,,,Room_Type 4,,2017.0,11.0,,Offline,0.0,0.0,,,,0.0
INN31334,,,2.0,,Meal Plan 1,,,,2018.0,3.0,,,,0.0,0.0,,,0.0
INN19999,1.0,,,3.0,Meal Plan 1,0.0,Room_Type 1,166.0,,11.0,,,,0.0,0.0,,0.0,1.0
INN19708,1.0,,,1.0,Not Selected,0.0,,,2018.0,4.0,,,0.0,0.0,0.0,,0.0,1.0
INN31154,1.0,0.0,,,,,,,2018.0,2.0,,Online,0.0,0.0,0.0,85.0,1.0,0.0
INN25824,2.0,,1.0,3.0,,,,,2018.0,5.0,,,0.0,0.0,0.0,132.6,1.0,0.0
INN17314,1.0,,0.0,3.0,Meal Plan 1,,Room_Type 1,,2017.0,9.0,,Corporate,,0.0,,90.0,0.0,0.0
INN06803,2.0,,,5.0,Meal Plan 1,1.0,Room_Type 4,77.0,2018.0,8.0,,,,0.0,,140.4,1.0,0.0
INN25209,1.0,,,1.0,Meal Plan 1,0.0,,0.0,2018.0,5.0,,Online,,0.0,0.0,,0.0,1.0
INN00122,,,,2.0,,0.0,,,2018.0,9.0,,,0.0,0.0,0.0,,0.0,0.0
INN31297,2.0,,,3.0,Meal Plan 1,,,,2018.0,9.0,,,0.0,0.0,0.0,,0.0,0.0
INN04578,2.0,,,0.0,,,Room_Type 1,,2017.0,8.0,,Online,0.0,0.0,0.0,,2.0,0.0
INN32519,2.0,0.0,,3.0,Meal Plan 1,0.0,,,2018.0,1.0,,,,0.0,0.0,,1.0,0.0
INN01149,1.0,,,3.0,,,,,2018.0,9.0,,Offline,,0.0,0.0,,,0.0
INN03548,2.0,,,3.0,,1.0,,,2018.0,2.0,,,,0.0,0.0,,0.0,0.0
INN30698,2.0,,0.0,4.0,,0.0,,,2018.0,4.0,,Online,,0.0,,,0.0,1.0
INN04860,2.0,0.0,,2.0,Meal Plan 1,0.0,,12.0,2018.0,7.0,,Offline,,0.0,,85.0,0.0,0.0
INN09027,1.0,,0.0,,Meal Plan 1,0.0,,,2018.0,11.0,,Online,,0.0,0.0,109.73,1.0,0.0
INN27742,2.0,,,4.0,,0.0,,,2018.0,12.0,,Offline,0.0,0.0,0.0,,,0.0
INN35342,2.0,,2.0,,Meal Plan 1,0.0,,,2018.0,8.0,,Offline,,0.0,,,0.0,0.0
INN21556,2.0,,,4.0,,0.0,Room_Type 4,,,8.0,,Online,,0.0,,,1.0,1.0
INN30366,2.0,,,,,0.0,,63.0,2018.0,11.0,,,,0.0,0.0,,0.0,0.0
INN09170,2.0,,0.0,5.0,,0.0,,,2018.0,11.0,,Online,,0.0,0.0,,,1.0
INN25998,2.0,,0.0,,Meal Plan 2,0.0,,,2017.0,8.0,,,,0.0,0.0,109.0,,0.0
INN03127,1.0,,1.0,1.0,,,Room_Type 1,,2018.0,6.0,6.0,,,0.0,,,,0.0
INN26191,,0.0,1.0,2.0,,,,,2018.0,12.0,16.0,Online,,0.0,0.0,,1.0,0.0
INN12066,2.0,,,0.0,Not Selected,0.0,Room_Type 1,,2018.0,7.0,,Online,,0.0,0.0,,2.0,0.0
INN10558,1.0,,,1.0,Meal Plan 1,0.0,,,2018.0,10.0,,Corporate,,0.0,0.0,65.0,0.0,0.0
INN31968,2.0,,,1.0,Meal Plan 2,0.0,Room_Type 1,72.0,2017.0,9.0,,,,0.0,0.0,,0.0,0.0
INN02326,1.0,0.0,,2.0,Meal Plan 1,,Room_Type 4,,2017.0,9.0,,,,0.0,0.0,,0.0,0.0
INN26784,,,,3.0,,0.0,,11.0,2017.0,12.0,29.0,,,0.0,0.0,,,0.0
INN02494,2.0,,,1.0,Not Selected,0.0,,,2018.0,1.0,,,0.0,0.0,0.0,81.0,0.0,0.0
INN11479,1.0,,,,,0.0,,,2018.0,5.0,,,,0.0,,,,0.0
INN14873,,,0.0,,Meal Plan 1,0.0,Room_Type 1,,,12.0,30.0,,,0.0,,,0.0,0.0
INN19244,2.0,,1.0,2.0,,,,,,7.0,,Online,,0.0,,108.34,1.0,0.0
INN04401,2.0,,,0.0,,0.0,,,2018.0,9.0,,,,0.0,,,0.0,1.0
INN11125,2.0,0.0,,,Meal Plan 1,,Room_Type 1,,2017.0,9.0,,Offline,,0.0,,,,0.0
INN29982,2.0,,1.0,3.0,,,Room_Type 4,,2018.0,12.0,,Online,,0.0,0.0,86.7,0.0,1.0
INN02938,2.0,,,3.0,,,,,2018.0,9.0,26.0,,,0.0,0.0,,0.0,
INN32227,2.0,,1.0,1.0,,0.0,Room_Type 1,,2018.0,4.0,,Online,,0.0,,116.0,0.0,0.0
INN34356,2.0,,,1.0,Meal Plan 1,0.0,,,2018.0,7.0,,,,0.0,,,2.0,1.0
INN10915,2.0,,,3.0,Meal Plan 2,,,87.0,2018.0,6.0,,Online,,0.0,0.0,,2.0,
INN03529,,,,3.0,,0.0,Room_Type 1,29.0,2018.0,4.0,,,,0.0,0.0,102.8,1.0,0.0
INN12967,1.0,,,2.0,,0.0,Room_Type 1,,2017.0,10.0,,Corporate,,0.0,,65.0,0.0,0.0
INN18363,2.0,,,,Meal Plan 1,,,,2018.0,5.0,,,,0.0,,,1.0,0.0
INN22243,2.0,,,1.0,,,,,2018.0,4.0,2.0,Online,,0.0,,,,0.0
INN12196,2.0,,,1.0,Meal Plan 1,0.0,,,2018.0,1.0,,Offline,,0.0,0.0,,0.0,0.0
INN17529,2.0,,,3.0,,0.0,,,,10.0,,,,0.0,0.0,,1.0,0.0
INN09009,1.0,,,,,0.0,Room_Type 1,,2017.0,12.0,27.0,Corporate,,0.0,5.0,65.0,,0.0
INN04098,2.0,,0.0,,,0.0,,,2018.0,10.0,,,,0.0,0.0,108.0,0.0,1.0
INN34952,3.0,,,2.0,Meal Plan 1,,,,2018.0,3.0,,,,0.0,0.0,,0.0,1.0
INN06922,1.0,,,0.0,Meal Plan 1,0.0,,,2018.0,2.0,,Online,,0.0,0.0,,0.0,0.0
INN31466,2.0,,2.0,2.0,Meal Plan 1,,,,2018.0,8.0,28.0,,,0.0,0.0,,3.0,0.0
INN34559,3.0,,,3.0,Meal Plan 1,,,,2018.0,10.0,,,,0.0,,,1.0,1.0
INN18085,2.0,,,3.0,Meal Plan 1,0.0,Room_Type 1,,,1.0,,,,0.0,0.0,,1.0,0.0
INN18840,2.0,,1.0,,,,Room_Type 1,,2018.0,9.0,,Offline,,0.0,0.0,,,1.0
INN06259,2.0,,,6.0,Meal Plan 1,,,,2017.0,8.0,,,,0.0,0.0,82.87,1.0,0.0
INN12531,2.0,1.0,2.0,4.0,Meal Plan 1,0.0,Room_Type 1,76.0,2018.0,10.0,,Online,,0.0,0.0,,1.0,1.0
INN24332,2.0,,,2.0,,0.0,,108.0,2018.0,4.0,,,,0.0,0.0,75.76,0.0,0.0
INN17461,2.0,0.0,,3.0,,0.0,,,2018.0,9.0,,,,0.0,,118.8,0.0,1.0
INN00521,1.0,,,1.0,Meal Plan 1,,,,2018.0,3.0,5.0,,0.0,0.0,,,1.0,0.0
INN24780,2.0,,,5.0,Meal Plan 1,0.0,,,2018.0,8.0,1.0,Online,0.0,0.0,,169.88,0.0,1.0
INN24014,2.0,,,4.0,Meal Plan 2,,,,2018.0,,,,,0.0,,,0.0,0.0
INN04094,,,,4.0,Meal Plan 1,,Room_Type 1,,2018.0,,,,0.0,0.0,,,0.0,1.0
INN24084,1.0,,,,Meal Plan 1,0.0,,,2017.0,10.0,,,,0.0,,,0.0,1.0
INN12773,2.0,0.0,2.0,,,0.0,Room_Type 2,62.0,2018.0,9.0,,Online,,0.0,0.0,,0.0,1.0
INN34346,,0.0,,,Meal Plan 1,0.0,,56.0,,7.0,,Online,,0.0,0.0,,,1.0
INN26930,2.0,,,3.0,Meal Plan 1,,,,2018.0,8.0,,Offline,0.0,0.0,0.0,100.0,0.0,0.0
